site_number,site,buff_dist,harvest,harvest_2000,harvest_pre2000,pipeline,roads,seismic_lines,veg_edges,wells,lc_agriculture,lc_broadleaf,lc_coniferous,lc_developed,lc_grassland,lc_mixed,lc_shrub
1,LUD_1,250,0.43153740100000004,0.35519374195878695,0.0763436593236652,0,0,0,0,0,0,0,0.846992388,0,0,0,0.15300761200000002
2,LUC_2,250,0.341836908,0,0.341836907547073,0.14796286300000003,0.05987523,5.410000000000001e-5,0.09955089399999997,0,0,0.180030462,0,0.451402952,0.36080834300000003,0,0.007758273999999999
4,LUC_4,250,0,0,0,0.014835549000000002,0.0070503779999999995,0,0.012899685000000001,0.018290447,0,0,0.7426294230000001,0.07159975500000001,0.061762115,0,0.124008617
6,LUS_6,250,0.38837559200000005,0.17938544340714604,0.20899014856011605,0,7.109999999999999e-6,0,0.0011169290000000002,0.031801471,0,0,0.44222248700000005,0.008365804,0,0,0.549411694
10,LUS_10,250,0.4238583810000001,0.42385838101241413,0,0,0.0067477330000000005,0,0.014254088,0.033158030000000005,0,0,0.2844821870000001,0.045219671,0,0,0.670298251
12,LUBF_12,250,0,0,0,0.07521023600000001,0.031471687000000005,0.004236477999999999,0.059455481,0.036258730999999995,0,0.47280175700000004,0.04353500700000001,0.298248559,0.18541474300000002,0,0
13,LUC_13,250,0.9863060279999999,0,0.9863060277843012,0,0,0,0.003400216,0.010293756999999999,0,0,9.55204e-4,0.066926417,0,0,0.93211833
17,LUC_17,250,0.555611085,0.17793688047680306,0.37767420432855703,0.049125277,0,7.79482e-4,0,0,0,0,0.374301844,0,0.29413699500000007,0,0.331561161
18,LUC_18,250,0.626754282,0.15390295189393405,0.47285133037134103,0,0,0,0,0,0,0,0.360080628,0,0,0,0.639919372
21,LUC_21,250,0.7802156629999999,0.35608620999071205,0.424129453386694,0,0,0,0,0,0,0.33402002199999997,0.24977371,0,0,0,0.4162062690000001
23,LUC_23,250,0.478107038,0.478107037578017,0,0.03423556700000001,0.007399833999999999,0.002684411,0.006989532,9.77403e-4,0,0,0.26858741,0.04533369700000001,0.32110979900000003,0.111586714,0.25338235300000006
24,LUC_24,250,0,0,0,0,0.025065617000000005,0,0.051155355000000007,0,0,0.036948457999999997,0.739957035,0,0.223094507,0,0
26,LUC_26,250,0.014969086999999999,0,0.014969087279717179,0.07834783299999999,0.037628732,0,0.065774991,0.016328647,0,0.21841348300000007,0.29220946800000003,0.2653647710000001,0.224012178,0,0
30,LUBF_30,250,0,0,0,0.031155618000000003,0.026297533,0.002989955,0.047280854,0,0,0.311345492,0.44508868800000007,0.24356579800000003,0,0,0
31,LUC_31,250,0.133108586,0.133108585698523,0,0.038042238,0.005275103999999999,0.007198217,0.004888310000000001,0.095783669,0,0,0,0,0.320658323,0.395134351,0.284207327
35,LUBF_35,250,0,0,0,0.02543584,0.02271335,0,0.040838234,0.07660860900000001,0,0.841286756,0,0.15871324100000006,0,0,0
37,LUC_37,250,0.7887897799999999,0,0.788789779642097,0,0,0,0.014367733999999998,0,0,0,0.14092273200000002,0.16618667799999998,0.59249895,0,0.100391567
38,LUC_38,250,0,0,0,0.148666224,0.028337781,0.021979421000000002,0.046952025,0.029293067999999995,0,0,0.109749353,0.257359286,0.565351398,0.067539849,0
39,LUS_39,250,0.6711788,0.0565238896708216,0.6146549101622791,0,0,0,0,0,0,0.096612635,0.10144880199999999,0,0,0.318214753,0.48372381100000006
42,LUC_42,250,0.7757439730000001,0.24379287724088664,0.531951095290903,0,0.04997367,0.011244544,0.061547507,0.024771766,0,0,0.250571539,0.334180601,0.415247859,0,0
44,LUBF_44,250,0.071401959,0.0714019588728518,0,0,0,0,0,0.001519337,0,0.8444779520000001,0,0,0,0,0
45,LUC_45,250,0.369436415,0.36943641503828,0,0.031562718000000003,0.001095206,0,0.003146333,0.042741974999999995,0,0.348858259,0,0.020880981,0,0.13883140000000002,0.49142929500000004
46,LUBF_46,250,0,0,0,0.018566374000000007,0.004195211999999999,0.01219623,0.008363879,0.047323432,0,0.9568815740000001,0.0018816249999999998,0.03613210900000001,0.005104763,0,0
51,LUC_51,250,0.191001946,0.191001946227142,0,0,0,0.012688867999999999,0,0,0,0.112584507,0.7076167549999999,0,0,0,0.17979873700000004
55,LUBF_55,250,0.4591868130000001,0.45905338911187205,1.3342434574050804e-4,0.0878106,0,0,0,2.618640000000001e-4,0,0.07429501600000002,0.025918767000000002,0,0.8833336849999999,0.016452532000000002,0
56,LUS_56,250,0.6807866929999999,0.33386572741126297,0.3469209653558871,0,0,0.0026556519999999997,0,0,0,0.354183375,0.17145585300000002,0,0,0.098185663,0.376175108
58,LUBF_58,250,0,0,0,0.03241392700000001,0.029087805999999997,0,0.04549244499999999,0.028081466000000003,0,0.340081095,0.0050284200000000005,0.208857777,0.446032788,0,0
60,LUC_60,250,0,0,0,0.092364639,0.028483659,0.004063385000000001,0.050198145000000007,0.018712058,0,0.028838353,0.746981702,0.169377847,0.05480217500000001,0,0
62,LUBF_62,250,0,0,0,0,0,0.014691002,0.020625507,0.028315264000000003,0,0.09651174600000001,0.16700298400000002,0.29717911700000005,0,0.409036618,0.030269544
63,LUBF_63,250,0,0,0,0,0,0,0,0,0,0.35505703299999997,0.644942967,0,0,0,0
67,LUBF_67,250,0.7282745469999999,0.03596030745229208,0.692314239088805,0.013468596999999999,0.018073515000000005,0,0.036076742999999994,0.0026436119999999996,0,0.569827139,0.03423002800000001,0.10560540200000001,0,0,0.29033738100000006
70,LUS_70,250,0.018088856000000004,0.018088855601950206,0,0,0,0.027827872999999996,0,0,0,0,0.8343674849999999,0,0,0,0.16563251499999998
74,LUG_74,250,0.4118057730000001,0.41180577282209024,0,0,0,0.006807416000000001,0,0,0,0,0.061319472,0,0.443027055,0,0.495653474
75,LUBF_75,250,0,0,0,0,0,0,0,0,0,0.06863202700000001,0,0,0,0.931367973,0
77,LUC_77,250,0.84354356,0,0.843543560492119,0,0,0,0,0,0,0.184266161,0.21082895200000001,0,0,0,0.604904887
81,LUBF_81,250,0.360082556,0,0.36008255564752,0,0,0.004677406,0,0,0,0.37773972199999994,0.27101289800000006,0,0,0,0.35124737999999994
83,LUBF_83,250,0.104615418,0.10461541795883202,0,0,0,0,0,0,0,0.481063052,0,0,0,0.5189369479999999,0
88,LUBF_88,250,0,0,0,0,0,0.028628898,0,0,0,0.547185186,0,0,0,0.44269838300000003,0.010116430999999999
94,LUS_94,250,0.25724307399999996,0.257243073885149,0,0,0,0,0,0,0,0.7454989639999999,0,0.0014732479999999997,0.21920790200000004,0,0.03381991200000001
95,LUS_95,250,0.263650228,0.2636502280704453,0,0,0,0.0046413389999999995,0,0,0,0.885845324,0,0,0,0,0.11415467600000001
99,LUBF_99,250,0,0,0,0.03161918300000001,0,0,0,0,0,0.120376995,0,0,0.761193792,0,0.11842921299999999
100,LUUK_100,250,0.4004847780000001,0,0.4004847781523461,0,0,0.010813710999999998,0,0,0,1,0,0,0,0,0
104,LUBF_104,250,0.891286416,0,0.8912864156182569,0,0,4.90688e-4,0,0,0,1,0,0,0,0,0
105,LUBF_105,250,0.33974662299999997,0.33974662324722005,0,0,0,0.01135085,0,0,0,0.202979224,0,0,0,0.3263200930000001,0.47070068400000004
107,LUS_107,250,0.8568255320000002,0.856825531958216,0,0,2.61e-5,0.0024543110000000003,0,0,0,0.376593887,0,0,0,0,0.6234061129999999
110,LUC_110,250,0.4669165790000001,0.4669165788671851,0,0,0,0.012885196,0,0,0,0.316251185,0,0,0,0.6837488150000001,0
117,LUC_117,250,0,0,0,0,0.014550999,0.0014936979999999997,0,0,0.05365996700000002,0.33306740799999995,0.356322756,0.060366094999999995,0,0.196583772,0
118,LUS_118,250,0,0,0,0,0,0,0,0,0,0.8310912590000001,0,0,0.16890874100000003,0,0
119,LUAG_119,250,0,0,0,0,0.020746063999999998,0.0045806200000000005,0.020453139000000002,0,0.11809499899999999,0.78674753099999994,0,0.09515750499999999,0,0,0
120,LUS_120,250,0.8050254510000001,0,0,0,0,0,0,0,0.14033147,0.279007068,0,0,0.4093195780000001,0,0.17134188400000003
121,LUBF_121,250,0,0,0,0,0.009107194999999998,0.0036183450000000002,0.009479422,0,0,0.657477247,0,0.06166967,0.280853128,0,0
124,LUAG_124,250,0.6613599599999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,LUW_125,250,0,0,0,0,0,0,0,0,0.303634741,0.580047972,0,0,0,0,0
130,LUBF_130,250,0,0,0,0,0,0,0,0,0,0.078017037,0,0,0,0,0.332148729
131,LUS_131,250,0,0,0,0,0,0,0,0,0,0.368118339,0,0,0.151329814,0,0
132,LUBF_132,250,0,0,0,0,0.02210667,0,0.039750337000000004,0,0.10087391,0.4518146850000001,0,0.172753862,0,0,0
136,LUS_136,250,0,0,0,0,0,0,0,0,0,0,0,0,0.049756739,0,0.48140073600000005
137,LUAG_137,250,0,0,0,0,0,0,0,0,0.24271107500000003,0.391768738,0,0,0,0,0
140,LUBF_140,250,0,0,0,0,0.001879539,0.009143097999999997,0.0024702590000000007,0,0,0.438615442,0,0,0.08201341699999999,0,0.12865597499999998
141,LUC_141,250,0.46456003100000004,0.4645600306662141,0,0,0,0.00445646,0,0,0,0.29549127700000005,0.003891205,0,0,0.38002971500000005,0.32058780300000006
1,LUD_1,500,0.4734825190000001,0.2233833465720119,0.2500991726371543,6.745149999999999e-4,0,5.51107e-4,0.010076696000000001,0.018245546,0,0,0.559154127,0.05321963000000001,0,0,0.38762625
2,LUC_2,500,0.27183707,0.03925386462311961,0.23258320530729304,0.114257612,0.029757868999999996,0.003529546,0.049977309000000004,0.038763328,0,0.16993408000000004,0.20167395899999999,0.266036432,0.28210627200000005,0,0.080249263
4,LUC_4,500,0.003916944999999999,0.003916945387701999,0,0.028530923,0.012707805,0.010373133,0.031936221,0.031966668000000004,0,0.05957229800000001,0.5347585460000001,0.116911637,0.05781489100000001,0,0.230942626
